Itemset	day	sentiment
( 143, 19, 876)	0	54
( 143, 19, 876)	1	0
( 143, 19, 876)	2	-44
( 143, 19, 876)	3	-47
( 143, 19, 876)	4	0
( 143, 19, 876)	5	0
( 143, 19, 876)	6	0
( 655, 762, 944)	0	60
( 655, 762, 944)	1	0
( 655, 762, 944)	2	-48
( 655, 762, 944)	3	0
( 655, 762, 944)	4	31
( 655, 762, 944)	5	0
( 655, 762, 944)	6	0
( 962, 343, 961)	0	0
( 962, 343, 961)	1	-49
( 962, 343, 961)	2	0
( 962, 343, 961)	3	0
( 962, 343, 961)	4	0
( 962, 343, 961)	5	46
( 962, 343, 961)	6	0
( 101, 170, 908)	0	0
( 101, 170, 908)	1	-77
( 101, 170, 908)	2	0
( 101, 170, 908)	3	-42
( 101, 170, 908)	4	24
( 101, 170, 908)	5	0
( 101, 170, 908)	6	0
( 101, 170, 130)	0	0
( 101, 170, 130)	1	-79
( 101, 170, 130)	2	0
( 101, 170, 130)	3	-57
( 101, 170, 130)	4	30
( 101, 170, 130)	5	0
( 101, 170, 130)	6	0
( 101, 170, 693)	0	0
( 101, 170, 693)	1	-84
( 101, 170, 693)	2	0
( 101, 170, 693)	3	-45
( 101, 170, 693)	4	25
( 101, 170, 693)	5	0
( 101, 170, 693)	6	0
( 101, 908, 130)	0	0
( 101, 908, 130)	1	-78
( 101, 908, 130)	2	0
( 101, 908, 130)	3	-52
( 101, 908, 130)	4	24
( 101, 908, 130)	5	0
( 101, 908, 130)	6	0
( 101, 908, 693)	0	0
( 101, 908, 693)	1	-83
( 101, 908, 693)	2	0
( 101, 908, 693)	3	-40
( 101, 908, 693)	4	19
( 101, 908, 693)	5	0
( 101, 908, 693)	6	0
( 101, 130, 693)	0	0
( 101, 130, 693)	1	-85
( 101, 130, 693)	2	0
( 101, 130, 693)	3	-55
( 101, 130, 693)	4	25
( 101, 130, 693)	5	0
( 101, 130, 693)	6	0
( 170, 908, 130)	0	0
( 170, 908, 130)	1	-78
( 170, 908, 130)	2	0
( 170, 908, 130)	3	-62
( 170, 908, 130)	4	33
( 170, 908, 130)	5	0
( 170, 908, 130)	6	0
( 170, 908, 693)	0	0
( 170, 908, 693)	1	-83
( 170, 908, 693)	2	0
( 170, 908, 693)	3	-50
( 170, 908, 693)	4	28
( 170, 908, 693)	5	0
( 170, 908, 693)	6	0
( 170, 130, 693)	0	0
( 170, 130, 693)	1	-85
( 170, 130, 693)	2	0
( 170, 130, 693)	3	-65
( 170, 130, 693)	4	34
( 170, 130, 693)	5	0
( 170, 130, 693)	6	0
( 908, 130, 693)	0	0
( 908, 130, 693)	1	-84
( 908, 130, 693)	2	0
( 908, 130, 693)	3	-60
( 908, 130, 693)	4	28
( 908, 130, 693)	5	0
( 908, 130, 693)	6	0
( 50, 835, 561)	0	0
( 50, 835, 561)	1	0
( 50, 835, 561)	2	-48
( 50, 835, 561)	3	-39
( 50, 835, 561)	4	0
( 50, 835, 561)	5	28
( 50, 835, 561)	6	0
( 496, 102, 71)	0	0
( 496, 102, 71)	1	-23
( 496, 102, 71)	2	-48
( 496, 102, 71)	3	0
( 496, 102, 71)	4	0
( 496, 102, 71)	5	26
( 496, 102, 71)	6	0
( 50, 886, 129)	0	76
( 50, 886, 129)	1	-46
( 50, 886, 129)	2	0
( 50, 886, 129)	3	0
( 50, 886, 129)	4	0
( 50, 886, 129)	5	78
( 50, 886, 129)	6	0
( 50, 886, 498)	0	56
( 50, 886, 498)	1	-38
( 50, 886, 498)	2	0
( 50, 886, 498)	3	0
( 50, 886, 498)	4	0
( 50, 886, 498)	5	53
( 50, 886, 498)	6	0
( 50, 886, 296)	0	69
( 50, 886, 296)	1	-39
( 50, 886, 296)	2	0
( 50, 886, 296)	3	0
( 50, 886, 296)	4	0
( 50, 886, 296)	5	59
( 50, 886, 296)	6	0
( 50, 129, 498)	0	81
( 50, 129, 498)	1	-41
( 50, 129, 498)	2	0
( 50, 129, 498)	3	0
( 50, 129, 498)	4	0
( 50, 129, 498)	5	73
( 50, 129, 498)	6	0
( 50, 129, 296)	0	94
( 50, 129, 296)	1	-42
( 50, 129, 296)	2	0
( 50, 129, 296)	3	0
( 50, 129, 296)	4	0
( 50, 129, 296)	5	79
( 50, 129, 296)	6	0
( 50, 498, 296)	0	74
( 50, 498, 296)	1	-34
( 50, 498, 296)	2	0
( 50, 498, 296)	3	0
( 50, 498, 296)	4	0
